,fullname
42,Łukasz Baka
53,Natalia Elżbieta Banasik-Jemielniak
90,Magdalena Marta Bartoszak
106,Anna Maria Batory-Ginda
161,Agnieszka Bieńkowska
240,Paweł Bronowski
300,Katarzyna Chotkowska
314,Ariadna Dominika Ciążela
349,Jan Czabała
377,Kornelia Czerwińska
389,Dorota Irena Danielewicz
416,Kamila Anna Dobrenko
439,Monika Anna Dominiak-Kochanek
556,Natalia Gawron
558,Magdalena Gawrych
602,Aneta Maria Gop
683,Ewa Alicja Hamerszmit
704,Beata Grażyna Hintze
765,Dorota Maria Jankowska
787,Dorota Anna Jasielska
800,Irena Ewa Jelonkiewicz-Sterianos
882,Izabela Ewelina Kaźmierczak
915,Sylwia Kluczyńska
951,Karolina Marzena Konopka
968,Małgorzata Korko
1053,Magdalena Kruk-Rogucka
1069,Izabella Kucharczyk
1144,Barbara Lejzerowicz-Zajączkowska
1260,Maryla Malewicz-Sawicka
1454,Karolina Anna Nowak-Stańczyk
1463,Ewa Odachowska-Rogalska
1490,Iwona Omelańczuk
1662,Magdalena Poraj-Weder
1668,Sławomir Adam Postek
1679,Katarzyna Prot-Klinger
1686,Tomasz Prusiński
1696,Monika Magda Pudło
1718,Joanna Rajchert
1760,Filip Rola
1761,Jarosław Rola
1775,Magdalena Rowicka
1802,Marta Ewa Rutkowska
1869,Marcin Modest Sękowski
1877,Agnieszka Maria Siedler
1890,Kasper Maciej Sipowicz
1903,Justyna Maria Skolimowska
2085,Magdalena Blanka Szpojankowska-Puchalska
2093,Michał Łukasz Szulawski
2122,Dawid Konrad Ścigała
2141,Joanna Edyta Świderska
2280,Maria Weker
2301,Anna Więcek-Durańska
2315,DOMINIKA WIŚNIEWSKA
2321,Ewa Monika Witkowska
2413,Lidia Zabłocka-Żytka
2414,Łukasz Mateusz Zaborek
2420,Anna Maria Zajenkowska
2427,Dominika Magdalena Zakrzewska-Olędzka
2443,Ewa Barbara Zasępa
2462,Karolina Maria Ziembowicz
