,fullname
107,Maria Bazan
216,Maria Borczykowska-Rzepka
322,Ksenia Cielebąk
357,Szymon Czapliński
371,Anna Czerniak
394,Artur Daren
532,Agnieszka Fusińska-Korpik
536,Agnieszka Gałkowska
557,Aleksandra Gawrońska
786,Dorota Jasiecka
942,Joanna Konarska
1004,Robert Michał Kowalczyk
1100,Michał Kupczyk
1250,Marek Majczyna
1254,Rafał Majka
1333,Kamil Michalik
1355,Natalia Mirska-Tomasz
1356,Andrzej Marek Mirski
1373,Andrzej Molenda
1383,Swetłana Mróz
1414,Zbigniew Nęcki
1503,Wanda Osikowska
1511,Tadeusz Marian Ostrowski
1560,Leszek Pawłowski
1562,Maria Pąchalska
2022,Anna Strzelczak
2304,Ewa Wilczek-Rużyczka
2393,Katarzyna Wójcik-Pyrć
2407,Małgorzata Wysocka-Pleczyk
