,fullname
130,Ryszarda Ewa Bernacka
212,Dominik Jakub Borawski
466,Donat Dutkiewicz
543,Marek Piotr Gasparski
562,Krzysztof Gąsior
576,Karolina Ginalska
834,Kinga Kaleta
860,Mariusz Karbowski
1068,Karol Robert Kubrak
1101,Adrian Kurcbart
1104,Paweł Kurtek
1178,Katarzyna Anna Lipska
1213,BEATA ŁUBIANKA
1317,Agnieszka Mazur
1387,Justyna Mróz
1468,Ewelina Okoniewska
1669,Katarzyna Anna Potaczała-Perz
1742,Daria Rębiś
1861,Tatiana Senko
1989,Anna Stawecka
2033,Lilia Suchocka
2060,Piotr Szczukiewicz
2145,Justyna Świerczyńska
2224,Konstantinos Tsirigotis
2257,Tomasz Wajs
2282,Małgorzata Agnieszka Weryszko
2324,Bogumiła Witkowska-Łuć
