,fullname
54,Paulina Banaszkiewicz
179,Anna Błaszczak
180,Wojciech Błaszczak
220,Aneta Rita Borkowska
268,Magdalena Bury-Kamińska
343,Wojciech Cwalina
390,Barnaba Danieluk
392,Beata Monika Daniluk
435,Łucja Lena Domańska
436,Cezary Wojciech Domański
500,Sara Aleksandra Filipiak
547,Barbara Urszula Gawda
569,Justyna Gerłowska
751,Natalia Elzbieta Jach-Salamon
920,Tomasz Rafał Knopik
948,Paweł Grzegorz Koniak
978,Kalina Kosacka
988,Małgorzata Kostka-Szymańska
1035,Grażyna Maria Krasowicz-Kupis
1108,Małgorzata Anna Kuśpit
1123,Grażyna Ewa Kwiatkowska
1149,Krzysztof Jan Leoniak
1194,Karolina Magdalena Ludwikowska-Świeboda
1367,Robert Jarosław Modrzyński
1391,Dagmara Musiał
1392,Agnieszka Muszczyńska
1601,Agnieszka Pisarska
1666,Joanna Aleksandra Posłuszna
1733,Magdalena Małgorzata Razmus
1797,Katarzyna Rutkowska
1962,Anna Katarzyna Stachyra-Sokulska
2069,Ewa Małgorzata Szepietowska
2244,Anna Tychmanowicz
2288,Renata Wiechnik
2361,Jolanta Maria Wolińska
