,fullname
49,Bibianna Beata Bałaj
140,Marta Białecka
453,Joanna Anna Dreszer
587,Michał Miłosz Główczewski
661,Judyta Edyta Gulatowska
667,Małgorzata Anna Gut
721,Kenneth Bo-Ingvar Holmqvist
779,Lilianna Ewa Jarmakowska-Kostrzanowska
781,Tomasz Andrzej Jarmakowski-Kostrzanowski
1154,Monika Zofia Lewandowska
1162,Maria Antonina Lewicka
1204,Kamila Anna Łaszewska
1345,Łukasz Roland Miciuk
1351,Rafał Milner
1621,Joanna Weronika Płotnikowska
1887,Julia Ewa Sikorska
2131,Katarzyna Śliwińska
2161,Adam Tarnowski
2211,Maciej Piotr Trojan
2249,Joanna Kamilla Ulatowska
2392,Adrian Dominik Wójcik
