,fullname
187,ADRIANNA WERONIKA BOBER
236,MAŁGORZATA ANNA BRATOS-STĘPIEŃ
287,MAGDALENA MIROSŁAWA CHĘĆ
491,ADAM PAWEŁ FALEWICZ
531,JOANNA FURMAŃSKA
839,KAROLINA KALISZEWSKA
855,EWA KARABANOWICZ
857,KAROL MARCIN KARASIEWICZ
883,MAGDALENA TERESA KERESTEY
949,KRYSTIAN MICHAŁ KONIECZNY
1046,ZDZISŁAW STANISŁAW KROPLEWSKI
1078,ADAM KUCHARSKI
1093,MAŁGORZATA MARIA KULIK
1151,MAGDALENA LESZKO
1170,MARIA ANTONINA LIGOCKA
1265,AGNIESZKA MALINOWSKA
1342,SYLWIA NATALIA MICHAŁOWSKA
1574,ELŻBIETA PIEŃKOWSKA
1588,MARZENA PIŁAT
1670,ANDRZEJ RAFAŁ POTEMKOWSKI
1675,JOANNA MARIA PRACKA
1681,PIOTR ANDRZEJ PRÓCHNIAK
1709,KAROLINA RACHUBIŃSKA
1751,WOJCIECH ROBERT RODZEŃ
1804,EMILIA AGNIESZKA RUTKOWSKA
1841,AGNIESZKA SAMOCHOWIEC
1911,ALEKSANDRA SŁAWIŃSKA
1944,ANNA SOŁTYS
2029,DAWID SUBOCZ
2032,DARIA JOANNA SUCHECKA
2047,ROMAN RYSZARD SZAŁACHOWSKI
2059,MAŁGORZATA SZCZEŚNIAK
2086,KAMILA IRENA SZPUNAR
2138,AGATA HIACYNTA ŚWIĄTEK
2181,CELINA URSZULA TIMOSZYK-TOMCZAK
