,fullname
23,Anna Anzulewicz
45,Aleksandra Bala
72,Tomasz Jerzy Baran
77,Urszula Barańczuk
78,Kamilla Bargiel-Matusiewicz
81,Julia Izabela Barlińska
104,Tanaya Batabyal
124,Olena Belyavska
164,Michał Kamil Bilewicz
204,Barbara Janina Bokus
226,Zofia Borska-Mądrzycka
261,Magdalena Daria Budziszewska
267,Agnieszka Ewa Burnos
275,Dorota Elżbieta Campfield
299,Izabela Maria Chojnicka
326,Anna Cierpka
363,Joanna Matylda Czarnota-Bojarska
374,Ewa Leonia Czerniawska
405,Wouter Evert De Raad
441,Małgorzata Janina Dragan
443,Wojciech Łukasz Dragan
455,Ewa Dryll
477,Agnieszka Dynak
525,Krzysztof Paweł Fronczyk
538,Małgorzata Joanna Gambin
614,Paulina Górska
677,Maciej Władysław Haman
679,Ewa Maria Haman
718,Paweł Aleksander Holas
730,Mirosława Bojana Huflejt-Łukasik
737,Kamil Konrad Imbir
768,Konrad Seweryn Jankowski
793,Olga Jauer-Niworowska
872,Katarzyna Karzel
879,Grażyna Maria Katra
881,Rafał Janusz Kawa
905,Marcin Jacek Klik
919,Grażyna Iwona Kmita
924,Dorota Kobylińska
1033,Grzegorz Jan Krajewski
1152,Marcin Maciej Leśniak
1171,Magdalena Linke-Jankowska
1188,Itziar Lozano Sanchez
1191,Katarzyna Ewa Lubiewska
1207,Emilia Łojek
1212,Paweł Łowicki
1221,Magdalena Ewa Łuniewska-Etenkowska
1234,Oliwia Maciantowicz
1244,Dominika Agnieszka Maison
1304,Agnieszka Maria Maryniak
1322,Michał Piotr Meisner
1347,Karolina Mieszkowska
1348,Aneta Miękisz
1417,Alicja Magdalena Niedźwiecka
1446,Andrzej Nowak
1475,Tomasz Sebastian Oleksy
1492,Włodzimierz Oniszczenko
1504,Albertyna Wanda Osińska
1505,Jerzy Tomasz Osiński
1605,Ewa Agnieszka Pisula
1616,Agnieszka Patrycja Pluta
1618,Mateusz Piotr Płatos
1672,Anna Nina Potoczek
1684,Monika Prusik
1735,Joanna Karolina Rączaszek-Leonardi
1737,Anna Agnieszka Reinholz
1763,Marcin Romanowicz
1773,Magdalena Sylwia Roszczyńska-Kurasińska
1810,Agnieszka Anna Rychwalska
1816,Andrzej Rynkiewicz
1828,Marcin Tomasz Rzeszutek
1854,Katarzyna Sekścińska
1926,Marta Jolanta Sobańska
1931,Małgorzata Sobol
1945,Wiktor Piotr Soral
2007,Maciej Stanisław Stolarski
2027,Rafał Piotr Styła
2038,Hubert Suszek
2102,Anna Dorota Szuster-Kowalewicz
2139,Aleksandra Teresa Świderska
2168,Kalinka Timmer
2190,Piotr Paweł Tomaszewski
2198,Sabina Toruńczyk-Ruiz
2215,Agata Trzcińska
2256,Pamela Villar Gonzalez
2310,Mikołaj Henryk Winiewski
2330,Anna Wnuk
2344,Jerzy Wojciech Wojciechowski
2348,Agnieszka Wojnarowska
2385,Małgorzata Woźniak-Prus
2422,Marcin Zygmunt Zajenkowski
2452,Bogdan Włodzimierz Zawadzki
