,fullname
8,Dominik Kamil Adamek
33,Karina Atłas
70,Lidia Natalia Baran
174,Mateusz Blukacz
208,Magdalena Justyna Bolek-Kochanowska
231,Maciej Bożek
232,Anna Aleksandra Brandt-Salmeri
239,Michał Henryk Brol
269,Krystyna Buszman
282,Edyta Charzyńska
285,Maria Chełkowska-Zacharewicz
341,Mikołaj Wit Cugowski
523,Wiola Friedrich
611,Małgorzata Górnik-Durose
732,Magdalena Hyla
736,Michalina Ilska
750,Łukasz Mateusz Jach
757,Tomasz Daniel Jakubowski
772,Maciej Janowski
799,Anna Janina Jazłowska
894,Katarzyna Kiepas-Remesz
904,Renata Kleszcz-Szczyrba
927,Dagna Joanna Kocur
941,Anna Barbara Kołodziej-Zaleska
973,Monika Kornaszewska-Polak
1028,Barbara Kożusznik
1073,Joanna Kucharewicz
1135,Marcin Kazimierz Langer
1139,Anna Halina Latusek
1220,Marta Łukowska
1275,Eugenia Mandal
1311,Joanna Mateusiak
1378,Marcin Łukasz Moroń
1528,Mariola Paruzel-Czachura
1586,Irena Pilch
1647,Anita Janina Pollak
1707,Anna Małgorzata Pyszkowska
1721,Izabela Rajska-Kulik
1750,Magdalena Rode
1781,Jagoda Paulina Różycka
1844,Elżbieta Anna Sanecka
1882,Teresa Sikora
1883,Jagoda Sikora
1894,Magdalena Maja Sitko-Dominik
1906,Agnieszka Skorupa
1956,Zbigniew Spendel
1984,Marta Stasiła-Sieradzka
2005,Monika Magdalena Stojek
2125,Katarzyna Maria Ślebarska
2239,Elżbieta Turska
2300,Aleksandra Beata Wieteska
2356,Ewa Joanna Wojtyna
2360,Beata Wolfigiel
