,fullname
15,Rafał Aleksandrowicz
18,Adam Anczyk
153,Jacek Bielas
277,Olga Elżbieta Capała
286,Agnieszka Maria Chemperek
318,Joanna Cichorz- Sadowska
460,Anita Duplaga
527,Stefan Frydrychowicz
577,Stanisław Głaz
639,Jerzy Gruszka
648,Tomasz Grzegorek
658,Halina Grzymała-Moszczyńska
755,Ewa Jaglarz
802,Kamil Jezierski
840,Katarzyna Kaliszewska-Czeremska
888,Maria Kielar-Turska
1036,Agnieszka Krawczyk
1058,Agnieszka Małgorzata Krzysztof-Świderska
1117,Krzysztof Kwapis
1323,Anna Meissner
1332,Łukasz Michalczyk
1453,Krzysztof Waldemar Nowakowski
1473,Marian Olejnik
1628,Aleksandra Pohl
1683,Jacek Prusak
1689,Sylwia Przewoźnik
1744,Marta Riess
1771,Irmina Barbara Rostek
1808,Anna Rybka
1849,Anna Schab-Przybycień
1885,Katarzyna Sikora
1922,Jerzy Smoleń
1994,Małgorzata Steć
2054,Kaja Szarras-Kudzia
2072,Agnieszka Róża Szewczyk-Zakrzewska
2313,Beata Winnicka
2318,Ada Witenberg
