,fullname
80,Lea Barillier
207,Łukasz Bola
303,Anna Magdalena Chrzanowska
337,Amadeusz Dawid Citlak
438,Ewa Domaradzka-Woropińska
448,Małgorzata Iwona Draps
489,Małgorzata Anna Fajkowska
549,Łukasz Gawęda
592,Mateusz Kazimierz Gola
681,Katarzyna Hamer-Den Heyer
688,Krzysztof Hanusz
851,Krzysztof Kaniasty
1056,Jakub Kryś
1119,Anna Kwiatkowska
1365,Klaudia Ewa Modlińska
1399,Maria Nalberczak-Skóra
1469,Łukasz Piotr Okruszek
1517,Ewa Natalia Palikot
1589,Renata Pionke-Ubych
1609,Wojciech Pisula
1712,Piotr Radkiewicz
1741,Janusz Reykowski
1794,MARZENA RUSANOWSKA
1985,Agata Stasińska
2052,Piotr Szarota
2100,Izabela Szumska
2186,Przemysław Tomalski
2496,Karolina Joanna Żurek
