,fullname
85,Rafał Piotr Bartczuk
111,Wacław Jan Bąk
175,Agata Patrycja Błachnio
242,Paweł Jan Brudek
280,Agata Celińska-Miszczuk
293,Elżbieta Teresa Chmielnicka-Kuter
311,Joanna Barbara Chwaszcz
319,BARBARA CICHY JASIOCHA
323,Krzysztof Mariusz Ciepliński
339,Andrzej Cudo
381,Katarzyna Magdalena Czubak-Paluch
387,Monika Dacka
513,Paweł Grzegorz Fortuna
603,Julia Gorbaniuk
605,Oleg Gorbaniuk
668,Sylwia Maria Gwiazdowska-Stańczak
741,Justyna Iskra
766,Tomasz Jankowski
775,Elżbieta Teresa Januszewska
885,Grzegorz Aleksander Kida
993,Paweł Kot
1037,Bogumiła Teresa Krawiec
1057,Karolina Elżbieta Krzysztofik
1091,Agnieszka Kulik
1097,Dorota Krystyna Kuncewicz
1110,Jan Jerzy Kutnik
1132,Bogusława Halina Lachowska
1146,Bernadeta Lelonek-Kuleta
1187,Katarzyna Maria Litwińska-Rączka
1201,Mariola Halina Łaguna
1224,Małgorzata Urszula Łysiak
1272,Stanisław Mamcarz
1273,Piotr Janusz Mamcarz
1290,Katarzyna Mariańczyk
1307,Elżbieta Monika Masiak
1319,Dorota Mącik
1346,Emilia Mielniczuk
1358,Beata Mirucka
1422,Iwona Aneta Niewiadomska
1481,Piotr Krzysztof Oleś
1513,Wojciech Otrębski
1624,Martyna Maria Płudowska
1663,Agata Katarzyna Poręba-Chabros
1687,Aneta Małgorzata Przepiórka
1694,Małgorzata Maria Puchalska-Wasyl
1698,Ewelina Purc
1734,Wiktor Razmus
1779,Bohdan Rożnowski
1807,Radosław Jan Rybarski
1812,Elżbieta Barbara Rydz
1867,Andrzej Edward Sękowski
1928,Jacek Robert Sobek
1933,Ewa Sokołowska
2016,Paweł Stróżak
2071,Marta Agnieszka Szewczyk
2091,Magdalena Marta Szubielska
2127,Jacek Śliwak
2150,Elżbieta Barbara Talik
2151,Wiesław Jan Talik
2162,Małgorzata Tatala
2195,Małgorzata Torój
2243,Przemysław Tużnik
2287,Michał Paweł Wiechetek
2303,Sabina Maria Więsyk
2352,Marcin Michał Wojtasiński
2375,Mariusz Wołońciej
2380,Patrycja Wośko
2411,Emilia Zabielska-Mendyk
2438,Dariusz Jacek Zapała
2441,Beata Ewa Zarzycka
2495,Agnieszka Joanna Żmuda
