,fullname
10,Krystyna Elżbieta Adamska
22,Paulina Anikiej - Wiczenbach
34,Paweł Andrzej Atroszko
48,Julia Balcerowska
134,Tomasz Besta
147,Mariola Elżbieta Bidzan
159,Łucja Bieleninik
213,Judyta Borchet
244,Hanna Wanda Brycz
260,DAGMARA BUDNIK-PRZYBYLSKA
302,Magdalena Anna Chrzan-Dętkoś
312,Anna Konstancja Chybicka
398,Piotr Dąbrowski
470,Dorota Dominika Dykalska-Bieck
494,Agnieszka Magdalena Fanslau
586,Joanna Weronika Główczewska
591,Dorota Elżbieta Godlewska-Werner
596,Paulina Beata Golińska
608,Agata Małgorzata Goździewicz-Rostankowska
691,Michał Harciarek
744,Magdalena Iwanowska
764,Anna Maria Jankowska
782,Anna Jarmołowska
791,Michał Paweł Jaśkiewicz
806,Krzysztof Radosław Jodzio
814,Paweł Stefan Jurek
944,Roman Tadeusz Konarski
947,Blanka Kondratowicz
964,Joanna Maria Koralewska-Samko
979,Natasza Joanna Kosakowska-Berezecka
1134,Mateusz Jan Lammek
1140,Rafał Marcin Lawendowski
1160,Aleksandra Ludmiła Lewandowska - Walter
1175,Małgorzata Lipowska
1196,Karolina Lutkiewicz
1199,Ariadna Beata Łada-Maśko
1205,Marta Łockiewicz
1258,Franciszek Edmund Makurat
1277,Aleksandra Mańkowska
1278,Beata Mańkowska
1279,Arkadiusz Mański
1339,Justyna Michałek-Kwiecień
1407,Patrycja Aleksandra Naumczyk
1416,Zdzisław Nieckarz
1487,Henryk Józef Olszewski
1497,Edyta Orłowska
1535,Beata Pastwa - Wojciechowska
1557,Paulina Pawlicka
1565,Aleksandra Elżbieta Peplińska
1593,Andrzej Piotrowski
1612,Daria Cecylia Pizuńska
1627,Ilona Poćwierz - Marciniak
1648,Piotr Połomski
1690,Jacek Zbigniew Przybylski
1715,Wioletta Maria Radziwiłłowicz
1782,Joanna Różycka-Tran
1789,Agata Anna Rudnik
1847,Artur Sawicki
1908,Katarzyna Skrzypińska
2094,Marcin Radosław Szulc
2097,Aleksandra Maria Szulman-Wardal
2206,Natalia Agnieszka Treder-Rochna
2261,Tamara Zofia Walczak-Kozłowska
2289,Katarzyna Wieczorek
2323,Marta Agata Witkowska
2408,Magdalena Maria Wyszomirska-Góra
2449,Anna Maria Zawadzka
