,fullname
320,Jan Cieciuch
383,Anna Małgorzata Czyżkowska
515,Monika Frajnt-Dąbrowska
599,Dominik Gołuch
615,Zuzanna Elżbieta Górska-Kanabus
625,Monika Łucja Gregorczuk
789,Jarosław Tomasz Jastrzębski
808,Peter Karl Jonason
858,Dominika Anna Karaś
913,Waldemar Henryk Klinkosz
922,Zdzisław Kobos
1074,Katarzyna Kucharska
1083,Aleksandra Kűhn-Dymecka
1122,Katarzyna Kwiatkowska
1161,Karol Lewczuk
1180,Anna Maria Lipska
1203,Patryk Marek Łakuta
1267,Norbert Ernest Maliszewski
1269,Monika Maria Małkiewicz
1299,Katarzyna Martowska
1394,Monika Anna Mynarska
1425,Marek Antoni Nieznański
1459,Michał Maksymilian Obidziński
1522,Andrzej Pankalla
1596,Jarosław Piotrowski
1649,Klaudia Ponikiewska
1756,Radosław Rogoza
1776,Tomasz Rowiński
1821,Maria Ryś
1823,Jolanta Barbara Rytel
1900,Ewa Wiktoria Skimina
1901,Ilona Skoczeń
1971,Krzysztof Stanisławski
1980,Małgorzata Starzomska-Romanowska
2002,Elżbieta Stojanowska-Borowiec
2017,Włodzimierz Andrzej Strus
2109,Piotr Szydłowski
2112,Agnieszka Szymańska
2123,Sławomir Ślaski
2164,Jan Felicjan Terelak
2194,Ewa Topolewska-Siedzik
2213,Olaf Edmund Truszczyński
2382,Waldemar Tomasz Woźniak
2417,Wanda Zagórska
2493,Magdalena Żemojtel-Piotrowska
