,fullname
101,Małgorzata Basińska
177,Aleksandra Błachnio
209,Klaudia Boniecka
228,Agata Borzyszkowska
338,Barbara Ciżkowicz
397,Aleksandra Dąbrowska
402,Monika Deja
583,Karolina Głogowska
647,Izabela Grzankowska
818,Karolina Juszczyk
874,Elżbieta Kasprzak
1052,Agnieszka Kruczek
1165,Hanna Liberska
1186,Kamila Anna Litwic-Kaminska
1262,Alicja Malina
1331,Maciej Michalak
1334,Paulina Michalska
1354,Magdalena Miotk-Mrozowska
1390,Karolina Mudło-Głagolska
1434,Anna Antonina Nogaj
1507,Roman Ossowski
1585,Natalia Pilarska
1727,Anna Rasmus
1943,Michalina Sołtys
2039,Dorota Suwalska-Barancewicz
2041,Ewa Sygit-Kowalkowska
2056,Karolina Szatkowska
2111,Anna Małgorzata Szymanik-Kostrzewska
2208,Janusz Trempała
2309,Monika Wiłkość-Dębczyńska
2357,Ewa Wojtynkiewicz
2362,Aleksandra Wolska
2394,Małgorzata Wójtowicz-Szefler
2419,Ludmiła Zając-Lamparska
2472,Beata Ziółkowska
