,fullname
1,Rafał Abramciów
281,Sylwia Edyta Cendal
342,Patrycja Alicja Curyło-Sikora
370,Karolina Zofia Czernecka
378,Ewa Barbara Czerwińska-Jakimiuk
384,Natalia Czyżowska
393,Malwina Dankiewicz
408,Monika Derda
518,Agnieszka Franczok-Kuczmowska
519,Jan Leszek Franczyk
529,Joanna Maria Fryt
530,Agnieszka Fudali-Czyż
542,Joanna Ganczarek
579,Elżbieta Głąb
701,Agnieszka Teresa Hennel-Brzozowska
702,Radosława Herzog-Krzywoszańska
810,Natalia Maja Józefacka
829,Anna Magda Kaczmarska-Tabor
833,Julia Kaleńska-Rodzaj
837,Lada Kaliská
845,Alina Maria Kałużna-Wielobób
864,Soňa Kariková
867,Zinoviia Karpenko
984,Joanna Kossewska
995,Katarzyna Anna Kotlarska
999,Olena Kovalenko
1011,Ireneusz Kowalewski
1060,Łukasz Radosław Krzywoszański
1113,Marzena Agnieszka Kutt
1138,Agnieszka Lasota
1145,Marzena Monika Lelek-Kratiuk
1169,Witold Andrzej Ligęza
1230,Krystian Dariusz Macheta
1252,Piotr Ignacy Majewicz
1388,Agnieszka Maria Muchacka-Cymerman
1578,Karolina Anna Pietras
1619,Małgorzata Barbara Płoszaj
1673,Wiktor Franciszek Potoczny
1784,Joanna Ruczaj
1824,Dorota Agnieszka Ryżanowska-Krzyżak
1941,Eva Sollárová
2023,Radosław Stupak
2035,Barbara Róża Superson
2042,Svitlana Symonenko
2063,Monika Klaudia Szczygieł
2078,Dominika Sznajder
2082,Elżbieta Szpakiewicz
2108,Paulina Szydłowska-Klakla
2182,Urszula Lilianna Tokarska
2189,Katarzyna Tomaszek
2271,Jakub Wasiewicz
2387,Aleksandra Urszula Wójciak
