,fullname
110,Olga Bąk
142,Michał Przemysław Białek
184,Bogusława Agnieszka Błoch
217,Danuta Bogumiła Borecka-Biernat
247,Anna Marta Brytek-Matera
292,Dorota Chmielewska-Łuczak
332,Anna Agnieszka Cieślik
365,Kamila Beata Czepczor-Bernat
380,Marcin Franciszek Czub
459,Karolina Dunaj
463,Katarzyna Danuta Durniat
522,Tomasz Frąckowiak
697,Bartosz Helfer
783,Henryk Jarosiewicz
849,Dorota Agnieszka Kanafa-Chmielewska
854,Magdalena Sylwia Kapała
868,Maciej Karwowski
899,Jarosław Klebaniuk
928,Iwona Czesława Koczanowicz-Dehnel
1003,Jolanta Kowal
1130,Kinga Stefania Lachowicz-Tabaczek
1141,Izabela Lebuda
1197,Jerzy Luty
1211,Zbigniew Łoś
1240,Kamila Madeja-Bień
1361,Michał Misiak
1436,Agnieszka Krystyna Nomejko
1477,Anna Maria Oleszkiewicz
1479,Anna Maria Oleszkowicz
1502,Sylwester Wojciech Orzechowski
1600,Katarzyna Alicja Pisańska
1604,Joanna Ewa Piskorz
1656,Ryszard Wojciech Poprawa
1863,Katarzyna Zofia Serafińska
1918,Aleksandra Monika Słowińska
1949,Agnieszka Ewa Sorokowska
1951,Piotr Sorokowski
2028,Piotr Styrkowiec
2124,Magdalena Wiktoria Ślazyk-Sobol
2134,Justyna Śniecińska
2286,Agnieszka Widera-Wysoczańska
2328,Małgorzata Włodarczyk
2498,Alina Elżbieta Żurek
2499,Magdalena Maria Żurko
