,fullname
152,Katarzyna Biegańska
154,Eleonora Maria Bielawska-Batorowicz
294,Jan Chodkiewicz
331,Mariusz Cieślak
420,Karolina Dobrosz
502,Maria Finogenow
693,Mateusz Adam Hauk
758,Iwona Lidia Janicka
778,Karolina Aleksandra Jarecka
812,Anna Józefczyk
821,Zofia Dorota Kabzińska
830,Adrianna Kaczuba
923,Magdalena Ewa Kobylarczyk-Kaczmarek
983,Karolina Kossakowska
1076,Marta Justyna Kucharska-Hauk
1172,Agnieszka Marta Lipińska-Grobelny
1193,Anna Lubrańska
1328,Dorota Małgorzata Merecz-Kot
1337,Paulina Michalska
1352,Joanna Ewa Miniszewska
1451,Katarzyna Natalia Nowakowska-Domagała
1465,Janina Jolanta Ogińska-Bulik
1537,Anna Maria Paszkowska-Rogacz
1659,Grażyna Poraj
1992,Patryk Adam Stecz
2113,Paulina Agnieszka Szymańska
2129,Andrzej Marian Śliwerski
2146,Julita Małgorzata Świtalska
2148,Monika Ewa Talarowska
2265,Katarzyna Walęcka-Matyja
2399,Monika Wróbel
2415,Katarzyna Zaborska
2416,Magdalena Maria Zadworna
2482,Marta Renata Znajmiecka
2484,Olga Martyna Zwardoń-Kuchciak
