,fullname
2,Agnieszka Marianna Abramiuk
17,Ewa Agnieszka Ambroziak
21,Beatricze Kinga Andrzejewska
25,Katarzyna Archanowicz-Kudelska
36,Paweł Augustynowicz
46,Robert Balas
50,Marlena Banasik
95,Łukasz Barwiński
123,Ewa Beldzik
149,Ilona Bidzan -Bluma
157,Jan Bielecki
163,Mikołaj Biesaga
169,Katarzyna Weronika Binder-Olibrowska
192,Anna Bochyńska
196,Marta Bodecka-Zych
222,Aleksandra Borkowska
224,Anna Maria Boros
237,Szymon Bręński
251,Anna Izabela Brzezińska
253,Jerzy Marian Brzeziński
263,Anna Bukowska-Posadzy
310,Monika Martyna Chwalczuk
324,Lidia Cierpiałkowska
351,Sławomir Mateusz Czachowski
358,LIDIA CZARKOWSKA
404,Karolina Dejko-Wańczyk
423,Paweł Dobrowolski
456,Katarzyna Drzewek
478,Ewa Dziedzic-Szeszuła
481,Ewelina Elert-Dobkowska
497,Sylwia Fijałkowska
503,MARIA FLAKUS
616,Agnieszka Anna Grabara
619,Anna Maria Grabowska
624,Krzysztof Jędrzej Grala
626,Bartosz Grobelny
660,Magdalena Gugała-Iwaniuk
676,Piotr Haładziński
686,Karolina Hansen
700,Kamil Maksymilian Henne
720,Justyna Holka-Pokorska
723,Kaja Hołubowska
726,Hanna Hromova
733,Edyta Weronika Idczak-Paceś
795,Katarzyna Jawna-Zboińska
796,Romuald Jaworski
819,Adrian Michał Kabat
822,Radosław Patrycjusz Kaczan
828,Izabela Kaczmarek
853,Milena Kansy
870,Jerzy Karyłowski
873,Krzysztof Kasparek
876,AGATA KASZUBA
916,Anna Kluzik
950,Tadeusz Kononowicz
974,Tomasz Korulczyk
975,Krzysztof Korzeniowski
998,Katarzyna Kotowska
1013,Joachim Kowalski
1020,Aneta Monika Kozioł
1026,Anna Kozubińska
1082,Klaudiusz Krzysztof Kudła
1084,Daria Kukuła
1096,Dariusz Stanisław Kuncewicz
1102,Katarzyna Kurczych
1107,Jakub Michał Kuś
1155,Paulina Lewandowska
1158,Weronika Maja Lewandowska
1182,Maria Lis-Turlejska
1189,Robert Henricus Johannes van der Lubbe
1209,Władysław Łosiak
1217,Karolina Magdalena Łukasik
1256,Józef Makselon
1266,Anna Malinowska-Korczak
1281,Marta Marchlewska
1326,Tadeusz Andrzej Mendel
1340,Ewa Małgorzata Michałowska
1375,Weronika Molińska
1398,Małgorzata Najderska
1427,Jan Nikadon
1449,Iwona Nowakowska
1520,Władysław Jacek Paluchowski
1551,Natalia Anna Pawlaczyk
1570,Anna Piekacz
1579,Agnieszka Pigłowska-Juhnke
1580,Kamila Pihur
1610,Justyna Piwińska
1626,Grzegorz Pochwatko
1631,ARTUR POKROPEK
1731,Ewa Katarzyna Ratajczak
1745,Stewart Craig Roberts
1757,Katarzyna Rojewska
1758,Paulina Krystyna Rok-Bujko
1768,Paulina Rosińska
1800,Dorota Katarzyna Rutkowska
1818,Justyna Kinga Rynkiewicz
1820,Ewa Ryn-Wójcik
1859,Alicja Krystyna Senejko
1904,Maciej Skorko
1953,Tytus Sosnowski
1991,Radosław Stec
1995,Renata Maria Stefańska-Klar
2000,Tomasz Stępień
2010,Marlena Stradomska
2019,Rafał Stryjek
2057,Ewa Szczepkowska
2095,Mikołaj Szulczewski
2105,Paulina Janina Szwed
2117,Karol Stanisław Szymczak
2130,Izabela Jolanta Śliwińska
2135,Magdalena Katarzyna Śniegulska
2142,Justyna Świdrak
2153,Ewa Taracha
2166,Guillaume Laurent Thierry
2167,Magdalena Ewa Tilszer
2184,Aleksandra Tokarz
2201,Agnieszka Stanisława Trawicka
2220,Natalia Trzeszczyńska
2221,Agnieszka Ewa Trzewicarz
2247,Roksana Ulatowska
2255,Aleksandra Uściłko
2272,Anna Wasik
2297,Kinga Wierzba
2317,Karol Wiśniewski
2319,Magdalena Witkowska
2325,Grzegorz Witkowski
2345,BARTOSZ WOJCIECHOWSKI
2349,Iwona Wojtak
2429,Alicja Diana Zakrzewska-Sito
2446,Ewa Barbara Zawadzka
2483,Julian Zygmunt Zubek
2502,Aleksandra Żyrkowska
